dataSet,num_nodes,num_edges,sputnik,rode,tcgnn
raefsky4,19780,674195,0.000166,0.073962,0.5273
trdheim,22099,978711,0.000218,0.101181,0.3963
boneS10,914899,28191660,0.000202,3.309322,1000000000.0
TSOPF_RS_b678_c1,18697,4396289,0.000234,0.303267,4.5625
consph,83335,3046907,0.000166,0.35393,1.0692
human_gene2,14341,9041364,0.000214,1.289498,1000000000.0
gearbox,153747,4617075,0.000202,0.518598,1.6261
c-63,44235,239469,0.000307,0.034278,7.8523
barrier2-9,115626,3897557,0.000205,0.31799,58.8863
598a,110972,741934,0.000211,0.18872,1.0858
wikipedia-20060925,2983495,37269096,0.000205,6.643942,1000000000.0
Zd_Jac2,22836,1642833,0.00023,0.111776,7.7236
fxm4_6,18893,258368,0.000227,0.028214,0.7338
TSOPF_FS_b39_c30,120217,1575639,0.000176,0.28745,0.649
pkustk12,94654,3803485,0.000214,0.437363,96.3616
lhr71c,70305,1528092,0.000221,0.135968,0.597
ted_A_unscaled,10606,424587,0.000208,0.035238,0.4402
TSOPF_RS_b162_c4,20375,812749,0.000189,0.056166,0.4811
c-60,43641,171109,0.000173,0.028835,5.0247
audikw_1,943696,39297771,0.000211,5.195354,1000000000.0
lowThrust_6,16929,108376,0.000224,0.025318,0.4201
t3dh_a,79172,2215638,0.000208,0.280589,1.2387
FullChip,2987013,26621990,0.000166,3.407523,1000000000.0
caidaRouterLevel,192245,609066,0.000237,0.171613,1.1315
netherlands_osm,2216689,2441238,0.00017,0.838179,1000000000.0
af_shell10,1508066,27090195,0.000205,3.728301,1000000000.0
Dubcova3,146690,1891669,0.000227,0.259162,0.6769
c-61,43619,176817,0.000224,0.029754,6.7224
web-NotreDame,325730,1497134,0.000179,0.194077,18.4596
af_shell2,504856,9046865,0.000202,1.219411,1000000000.0
TSOPF_RS_b162_c3,15375,610299,0.000195,0.040131,0.4464
a2nnsnsl,80017,196115,0.000224,0.058243,37.5622
web-Google,916429,5105039,0.000205,1.132986,1000000000.0
wikipedia-20061104,3148441,39383235,0.000205,7.07353,1000000000.0
dielFilterV3clx,420409,16653308,0.00017,2.219389,1000000000.0
luxembourg_osm,114600,119666,0.000243,0.046835,0.1893
gas_sensor,66918,885141,0.000224,0.087248,0.6465
kkt_power,2063495,8130343,0.00017,1.869817,1000000000.0
coAuthorsCiteseer,227321,814134,0.000205,0.176512,0.525
msdoor,415864,10328399,0.000182,1.465862,1000000000.0
Ga3As3H12,61350,3016148,0.000227,0.378538,6.6089
c-50,22402,108013,0.000214,0.022934,3.3798
pkustk10,80677,2194830,0.00023,0.237107,1.3455
t3dh_e,79172,2215638,0.000166,0.280576,1.2291
ibm_matrix_2,51449,1056610,0.000218,0.057488,35.8605
troll,213454,6099282,0.000198,0.663072,1000000000.0
3Dspectralwave,680944,17165766,0.000195,2.431891,1000000000.0
Stanford,281904,2312497,0.000211,0.39105,711.9349
bone010,986704,36326514,0.000208,4.182429,1000000000.0
c-65,48067,204297,0.000285,0.033946,7.8512
af_0_k101,503626,9027150,0.000173,1.187962,1000000000.0
as-caida,31380,106762,0.000294,0.022864,7.9605
rim,22561,1014951,0.00024,0.059824,0.5549
ckt11752_tr_0,49703,333029,0.00023,0.031978,8.4586
circuit5M_dc,3523318,19194193,0.000166,2.667818,1000000000.0
coAuthorsDBLP,299068,977676,0.000202,0.258563,0.7465
bcsstk17,10975,219812,0.000218,0.024458,0.3746
TSOPF_FS_b300_c3,84415,6578753,0.000218,0.913238,1000000000.0
TSOPF_FS_b162_c1,10799,305732,0.000214,0.041264,0.4176
2D_54019_highK,54020,996414,0.00023,0.056406,5.1286
rajat30,643995,6175377,0.000214,0.660726,1000000000.0
cont-201,80596,239596,0.000227,0.052259,0.2787
citationCiteseer,268496,1156647,0.000211,0.377434,4.2815
OPF_10000,43888,255799,0.000224,0.036915,0.5169
144,144650,1074393,0.000208,0.215744,1.3317
cant,62452,2034917,0.000214,0.237773,0.7915
3Dspectralwave2,292009,7307376,0.000266,0.988038,1000000000.0
F1,343792,13590452,0.000176,2.188365,1000000000.0
bmw7st_1,141348,3740507,0.000214,0.43128,2.9269
srb1,54925,1508538,0.000224,0.162291,2.0398
G2_circuit,150103,438388,0.00017,0.074118,0.4465
rajat29,643995,4866270,0.000214,0.548643,86856.1797
vsp_msc10848_300sep_100in_1Kout,21997,1221028,0.000317,0.188685,6.5432
ship_003,121729,4103881,0.000202,0.492509,1.4328
conf6_0-8x8-80,49153,1916928,0.000205,0.127965,0.8019
rajat26,51033,249302,0.000227,0.029821,15.5553
TSOPF_RS_b39_c7,14099,252446,0.000202,0.020608,0.2397
qa8fm,66128,863353,0.00024,0.081114,0.563
Si5H12,19897,379247,0.000221,0.047395,1.2042
ldoor,952204,23737339,0.000205,3.49735,1000000000.0
TSOPF_FS_b300,29215,2203949,0.000224,0.280851,1.3718
coPapersDBLP,540487,15245729,0.000198,2.353642,1000000000.0
mult_dcop_03,25188,193216,0.000294,0.023747,132.7955
af_shell6,504856,9046865,0.000211,1.2184,1000000000.0
cont-300,180896,539396,0.000211,0.118144,0.5617
