dataSet,num_nodes,num_edges,sputnik,rode,tcgnn
ibm_matrix_2,51449,1056610,13.440112,0.049392,20.6647
igbt3,10939,234006,0.616336,0.018666,0.2662
in-2004,1382909,16917053,9671.5625,0.916662,10000000.0
inlet,11731,328323,0.710614,0.023187,0.1117
inline_1,503713,18660027,1284.006348,1.386042,10000000.0
ins2,309413,1530448,484.32196,0.11328,77202.4922
italy_osm,6686494,7013978,0.000698,1.44903,10000000.0
jan99jac120sc,41375,260202,8.682192,0.023888,0.1528
juba40k,40338,144945,8.25449,0.022832,0.1472
k3plates,11108,378927,0.639722,0.037712,0.1578
kim1,38416,933195,7.493744,0.043312,0.1674
kkt_power,2063495,8130343,21532.892578,0.698032,10000000.0
kron_g500-logn16,65537,2456398,21.784496,0.098,26.7119
kron_g500-logn17,131073,5114375,87.013931,0.194893,10000000.0
kron_g500-logn18,262145,10583222,347.811127,0.412768,10000000.0
kron_g500-logn19,524289,21781478,1390.690063,0.90737,10000000.0
kron_g500-logn20,1048577,44620272,5561.533203,1.964445,10000000.0
laminar_duct3D,67174,3833077,22.944408,0.207043,0.7097
language,399131,1216334,805.78772,0.122938,29.3666
largebasis,440021,5560100,979.46814,0.277562,10000000.0
ldoor,952204,23737339,4586.667969,1.873981,10000000.0
lhr34,35153,764014,6.281917,0.049789,0.1511
lhr34c,35153,764014,6.281456,0.049606,0.1495
lhr71,70305,1528092,25.069239,0.09879,0.2437
lhr71c,70305,1528092,25.074202,0.099162,0.2433
li,22696,1350309,2.647024,0.077754,0.5009
ljournal-2008,5363261,79023142,0.000992,5.738778,10000000.0
Long_Coup_dt0,1470153,44279572,10932.623047,3.389833,10000000.0
Long_Coup_dt6,1470153,44279572,10932.626953,3.388701,10000000.0
lowThrust_10,18261,116074,1.700291,0.015267,0.1447
lowThrust_11,18369,117002,1.722246,0.015421,0.1454
lowThrust_12,18459,117423,1.73633,0.015219,0.1454
lowThrust_13,18477,117580,1.741328,0.01455,0.1473
lowThrust_5,16263,103701,1.351187,0.012685,0.1438
lowThrust_6,16929,108376,1.464099,0.013712,0.146
lowThrust_7,17379,110607,1.542179,0.014064,0.1477
lowThrust_8,17703,113139,1.599267,0.014406,0.1464
lowThrust_9,18045,114806,1.65993,0.01527,0.1458
lp1,534389,1088904,1444.338989,0.133258,0.4583
luxembourg_osm,114600,119666,66.476616,0.026909,0.0808
m14b,214766,1679018,233.409515,0.110032,0.6752
mario001,38435,114643,7.498694,0.01535,0.0739
mario002,389875,1167685,768.882935,0.127798,0.4408
mark3jac040sc,18290,113435,1.706269,0.016067,0.1537
mark3jac060sc,27450,170695,3.830192,0.018883,0.1626
me2010,69519,167738,24.475098,0.027699,0.1988
memplus,17759,126150,1.606838,0.016342,2.2333
mip1,66464,5209641,22.477369,0.174752,10000000.0
ML_Laplace,377003,27689972,719.641785,1.548115,10000000.0
mouse_gene,45102,14506196,10.587145,0.367718,10000000.0
msc10848,10849,620313,0.614262,0.03161,0.6778
msc23052,23053,588933,2.714739,0.046093,0.5006
msdoor,415864,10328399,875.096863,0.804314,10000000.0
m_t1,97579,4925574,48.34256,0.354224,0.872
mult_dcop_01,25188,193276,3.228093,0.017478,95.2793
mult_dcop_02,25188,193276,3.228208,0.01735,94.8283
mult_dcop_03,25188,193216,3.228211,0.017498,93.5533
NACA0015,1039184,3114818,5461.430664,0.335296,1.2764
nasasrb,54871,1366097,15.272753,0.068368,0.2074
nd12k,36001,7128473,6.744378,0.204954,10000000.0
nd24k,72001,14393817,26.64263,0.437034,10000000.0
nd6k,18001,3457658,1.728147,0.099158,2.4879
net100,29921,1031560,4.565606,0.0592,1.6034
net125,36721,1306960,6.864915,0.074874,1.8067
net150,43521,1582360,9.638198,0.092586,1.5952
net4-1,88344,1265035,39.540733,0.099318,1.3591
net50,16321,480760,1.367322,0.029555,1.4424
net75,23121,756160,2.729946,0.043901,1.4255
netherlands_osm,2216689,2441238,0.000554,0.489274,1.2967
nh2010,48838,117275,12.090742,0.01913,0.1115
NLR,4163764,12487976,0.00064,1.383408,10000000.0
NotreDame_www,325730,929849,536.659302,0.097267,0.5464
nv2010,84539,208499,36.17971,0.029846,0.1958
ohne2,181344,11063545,166.690521,0.771414,10000000.0
oilpan,73753,1835470,27.577866,0.133178,0.2159
olafu,16147,515651,1.339597,0.049075,0.1394
onetone2,36058,227628,6.600198,0.023466,0.1074
OPF_10000,43888,255799,9.77113,0.028845,0.2204
opt1,15450,973052,1.237901,0.056886,0.3832
p2p-Gnutella31,62587,147892,19.823202,0.022112,0.1452
parabolic_fem,525826,2100225,1398.581543,0.187309,0.7233
patents,3774769,14970767,0.000586,1.32441,10000000.0
pattern1,19243,4671337,1.974416,0.116419,40.9763
pcrystk02,13966,491274,1.00729,0.046544,0.1485
pcrystk03,24697,887937,3.118314,0.072269,0.1875
pct20stif,52330,1375396,13.904966,0.101734,0.6381
pdb1HYS,36418,2190591,6.782237,0.132243,0.5663
PFlow_742,742794,18940627,2791.062744,1.394419,10000000.0
pkustk01,22045,500712,2.480298,0.036618,0.3597
pkustk02,10801,410400,0.604806,0.030202,0.4858
pkustk03,63337,1596876,20.359438,0.120314,0.3705
pkustk04,55591,2137125,15.700575,0.102218,15.9018
pkustk05,37165,1121154,7.031034,0.068877,0.4804
pkustk06,43165,1307466,9.472496,0.079626,0.5356
pkustk07,16861,1217832,1.470064,0.052794,1.6143
pkustk08,22210,1624440,2.544186,0.06881,1.5785
pkustk09,33961,808800,5.87049,0.065488,0.266
pkustk10,80677,2194830,33.016045,0.174416,0.5785
pkustk11,87805,2652858,39.095066,0.175024,0.658
pkustk12,94654,3803485,45.428528,0.200502,63.3828
pkustk13,94894,3355860,45.673107,0.218179,1.284
pkustk14,151927,7494215,117.005264,0.445786,10000000.0
pli,22696,686502,2.632819,0.052736,0.2266
PR02R,161071,8185136,131.539261,0.560906,10000000.0
Pres_Poisson,14823,365313,1.128659,0.028669,0.2002
pwtk,217919,5926171,240.384964,0.326048,10000000.0
qa8fk,66128,863353,22.161526,0.044589,0.222
