dataSet,num_nodes,num_edges,sputnik,cusparse,rode,gespmm,advisor,tcgnn,dtc
cnr-2000,325558,3216152,1.389549,0.769213,0.690278,0.8349,1.2249,1.4026,1.3492351770401
CO,221120,3943588,1.252659,0.711779,0.445798,0.946,1.1479,1.3771,1.6788896322250366
coAuthorsCiteseer,227321,814134,0.820294,0.425216,0.298659,0.4124,0.7146,0.243,1.0165183544158936
coAuthorsDBLP,299068,977676,1.100592,0.560851,0.390102,0.552,0.9303,0.3424,1.265337586402893
cond-mat-2003,31164,120029,0.094989,0.071165,0.040163,0.0588,0.1055,0.0564,0.170700803399086
cond-mat-2005,40422,175693,0.125078,0.091581,0.052294,0.0769,0.1388,0.0788,0.2088864147663116
conf5_4-8x8-05,49153,1916928,0.307014,0.302864,0.307078,0.378,0.5243,0.317,0.3820287883281708
conf5_4-8x8-10,49153,1916928,0.307341,0.303254,0.307651,0.3784,0.5252,0.3149,0.3847711980342865
conf5_4-8x8-15,49153,1916928,0.313683,0.303418,0.308522,0.3788,0.5243,0.3162,0.385100781917572
conf5_4-8x8-20,49153,1916928,0.312464,0.303158,0.30896,0.3791,0.5255,0.3152,0.3838655948638916
conf6_0-8x8-20,49153,1916928,0.307328,0.303149,0.306995,0.3779,0.5243,0.3148,0.3869183957576751
conf6_0-8x8-30,49153,1916928,0.315469,0.303654,0.307984,0.3791,0.5242,0.3142,0.3842400014400482
conf6_0-8x8-80,49153,1916928,0.312752,0.303469,0.309213,0.3789,0.5251,0.316,0.3862528204917907
consph,83335,3046907,0.570771,0.467978,0.465581,0.5768,0.8324,0.376,0.587119996547699
cont-201,80596,239596,0.274826,0.159507,0.103114,0.1516,0.2473,0.1067,0.3535264134407043
cont-300,180896,539396,0.662154,0.34921,0.249472,0.3431,0.5401,0.2309,0.7765600085258484
coPapersCiteseer,434103,16036720,3.858125,2.367373,2.120883,3.2485,4.7111,10000000.0,2.36658239364624
coPapersDBLP,540487,15245729,4.691616,2.450106,2.223683,3.3386,4.8334,10000000.0,2.92383360862732
copter1,17223,114143,0.061264,0.050048,0.024422,0.0302,0.065,0.0491,0.1208672076463699
CoupCons3D,416801,22322336,3.572697,3.327488,3.050601,4.2751,5.5372,10000000.0,3.509401798248291
crankseg_1,52805,5333507,0.821366,0.766218,0.546758,0.963,1.2842,10000000.0,0.6124640107154846
crankseg_2,63839,7106348,1.100147,1.014304,0.715174,1.2841,1.7001,10000000.0,0.7726463675498962
crplat2,18011,489478,0.107974,0.094106,0.057523,0.0928,0.148,0.0657,0.1290879994630813
crystk02,13966,491274,0.089274,0.087405,0.054112,0.0869,0.1418,0.0711,0.1214239969849586
crystk03,24697,887937,0.165546,0.149888,0.117357,0.1603,0.2553,0.1219,0.1764672100543975
crystm02,13966,168435,0.055421,0.053408,0.024819,0.0395,0.0587,0.0568,0.1110911965370178
crystm03,24697,304233,0.102614,0.088301,0.044138,0.0789,0.1194,0.095,0.1633023917675018
ct2010,67579,168176,0.209203,0.140186,0.0888,0.1116,0.1907,0.1074,0.3357855975627899
ct20stif,52330,1375396,0.330317,0.226742,0.16952,0.2706,0.4066,0.3048,0.2700927853584289
Cube_Coup_dt0,2164761,64685452,21.662205,9.581325,9.08177,13.792,16.6959,10000000.0,12.334898948669434
Cube_Coup_dt6,2164761,64685452,21.675606,9.623114,9.08944,13.7919,16.6981,10000000.0,12.41242218017578
CurlCurl_0,11084,62213,0.038336,0.033094,0.014541,0.0214,0.0341,0.0234,0.0907967984676361
CurlCurl_4,2380516,14448191,12.153689,5.016887,3.66727,5.5446,8.1525,10000000.0,9.914610862731934
cvxqp3,17501,69981,0.053946,0.051997,0.021107,0.0298,0.0496,0.0431,0.1235903948545456
cyl6,13682,363961,0.084512,0.068573,0.044218,0.0669,0.1101,0.2014,0.0984960049390792
darcy003,389875,1167685,1.459795,0.953206,0.665811,0.9824,1.326,0.5341,1.7082303762435913
dawson5,51538,531157,0.228227,0.150224,0.08473,0.1574,0.2183,0.129,0.2570496201515198
dblp-2010,326187,807700,1.146413,0.548272,0.418966,0.5155,0.8131,0.3971,1.479363203048706
dc3,116836,766396,5.906794,0.338858,0.241082,0.3282,0.5823,1959.5154,0.6309120059013367
de2010,24116,58028,0.073318,0.060234,0.033485,0.0352,0.0777,0.0491,0.2118783891201019
debr,1048577,2097149,3.639869,2.154355,1.592365,2.409,3.3078,1.1387,4.320591926574707
delaunay_n15,32769,98274,0.10623,0.078237,0.046835,0.0631,0.1043,0.0429,0.2406336069107055
delaunay_n16,65537,196575,0.211539,0.153197,0.090208,0.1169,0.1921,0.0799,0.3286655843257904
delaunay_n17,131073,393176,0.465792,0.260595,0.184358,0.2376,0.3696,0.1468,0.6267712116241455
delaunay_n18,262145,786396,0.994765,0.496544,0.365133,0.4938,0.7252,0.2819,1.1345984935760498
delaunay_n19,524289,1572823,2.031171,0.990285,0.731424,1.0063,1.4375,0.5508,2.1270368099212646
delaunay_n20,1048577,3145686,4.082867,1.924064,1.451869,2.0464,2.8543,1.0899,4.205264091491699
delaunay_n21,2097153,6291408,8.118528,3.869869,2.900409,4.1479,5.702,10000000.0,8.24505615234375
denormal,89401,622812,0.352435,0.206099,0.135574,0.2136,0.307,0.1704,0.5002495646476746
dictionary28,52653,89038,0.138304,0.098602,0.05519,0.0778,0.1098,0.0757,0.2678239941596985
dielFilterV2clx,607233,12958252,6.566605,2.118093,1.764202,2.8956,3.6957,10000000.0,3.765395402908325
dielFilterV2real,1157457,24848204,13.426468,4.001843,3.481901,5.6483,7.2818,10000000.0,7.265449523925781
