dataSet,rows_,columns_,nonzeros_,sputnik,Sputnik_gflops,cusparse,cuSPARSE_gflops,rode,ours_gflops
conf5_4-8x8-20, 49153, 49153, 1916928, 0.312464, 3141.056697, 0.303158, 3237.472978, 0.308960, 3176.680181
conf6_0-8x8-20, 49153, 49153, 1916928, 0.307328, 3193.549255, 0.303149, 3237.575589, 0.306995, 3197.011329
conf6_0-8x8-30, 49153, 49153, 1916928, 0.315469, 3111.138638, 0.303654, 3232.184710, 0.307984, 3186.747213
conf6_0-8x8-80, 49153, 49153, 1916928, 0.312752, 3138.164135, 0.303469, 3234.161592, 0.309213, 3174.083103
consph, 83335, 83335, 3046907, 0.570771, 2733.172831, 0.467978, 3333.527759, 0.465581, 3350.688846
cont-201, 80596, 80596, 239596, 0.274826, 446.367272, 0.159507, 769.075939, 0.103114, 1189.689311
cont-300, 180896, 180896, 539396, 0.662154, 417.079604, 0.349210, 790.845258, 0.249472, 1107.021044
coPapersCiteseer, 434103, 434103, 16036720, 3.858125, 2128.184235, 2.367373, 3468.317416, 2.120883, 3871.406366
coPapersDBLP, 540487, 540487, 15245729, 4.691616, 1663.779208, 2.450106, 3185.908817, 2.223683, 3510.308197
copter1, 17223, 17223, 114143, 0.061264, 953.924226, 0.050048, 1167.703334, 0.024422, 2392.935040
CoupCons3D, 416801, 416801, 22322336, 3.572697, 3198.993532, 3.327488, 3434.734015, 3.050601, 3746.485977
crankseg_1, 52805, 52805, 5333507, 0.821366, 3324.649713, 0.766218, 3563.942589, 0.546758, 4994.446391
crankseg_2, 63839, 63839, 7106348, 1.100147, 3307.239267, 1.014304, 3587.139834, 0.715174, 5087.500661
crplat2, 18011, 18011, 489478, 0.107974, 2321.038508, 0.094106, 2663.101160, 0.057523, 4356.724302
crystk02, 13966, 13966, 491274, 0.089274, 2817.543854, 0.087405, 2877.785769, 0.054112, 4648.364344
crystk03, 24697, 24697, 887937, 0.165546, 2746.214690, 0.149888, 3033.089609, 0.117357, 3873.859376
crystm02, 13966, 13966, 168435, 0.055421, 1556.071421, 0.053408, 1614.715312, 0.024819, 3474.677705
crystm03, 24697, 24697, 304233, 0.102614, 1517.986674, 0.088301, 1764.053049, 0.044138, 3529.129263
ct2010, 67579, 67579, 168176, 0.209203, 411.590807, 0.140186, 614.229388, 0.088800, 969.663411
ct20stif, 52330, 52330, 1375396, 0.330317, 2131.901071, 0.226742, 3105.739019, 0.169520, 4154.098431
Cube_Coup_dt0, 2164761, 2164761, 64685452, 21.662205, 1528.881785, 9.581325, 3456.615053, 9.081770, 3646.750911
